system:index,"0,0","0,1","1,0","1,1",2017_standAge,2018_standAge,2019_standAge,2020_standAge,2021_standAge,Forest degradation 2017-2021,Forest gain 2017-2021,Forest in 2021,Forest loss 2017-2021,Notes,Permanent land cover conversion to non-forest 2017-2021,analysis_duration,collection_time,dist,email,establishment year,flagged,gain,imagery_title,lat,lon,pl_horta_gain_results,pl_horta_results,pl_sampleid,plotid,sampleid,.geo
00000000000000000001_0,0,1,0,0,10,11,12,13,14,false,true,true,false,"disturbance between 2000 and 2010. in 2010 there is nothing, then some trees in 2012",No,967.6 secs,11/24/22 22:43,1,s.castano@cgiar.org,2010,false,1,Mapbox Satellite w/ Labels,-1.187571022,-48.08773555,0,1,1,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0,1,0,0,9,10,11,12,13,false,true,true,false,disturbance in 2008,No,272.3 secs,11/24/22 23:12,1,s.castano@cgiar.org,2008,false,1,Mapbox Satellite w/ Labels,-1.195499299,-48.08699546,0,1,8,8,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0,1,0,0,9,10,11,12,13,false,true,true,false,disturbance in 2008,No,1959.0 secs,11/25/22 0:19,1,s.castano@cgiar.org,2008,false,1,Mapbox Satellite,-1.19564495,-48.08709571,0,1,11,11,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0,1,0,0,3,4,5,6,7,false,true,true,false,forest started somewhere between 85 and 2000,No,271.4 secs,11/25/22 0:30,1,s.castano@cgiar.org,2000,false,1,Mapbox Satellite,-1.187935187,-48.08739694,0,1,13,13,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,0,1,0,0,9,10,11,12,13,false,true,true,false,,No,383.6 secs,11/25/22 0:36,1,s.castano@cgiar.org,1969,false,1,Mapbox Satellite,-1.193068572,-48.08839207,0,1,14,14,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0,1,0,0,47,48,49,50,51,false,true,true,false,,No,247.9 secs,11/25/22 0:40,1,s.castano@cgiar.org,1985,false,1,Mapbox Satellite,-1.187555313,-48.08956194,0,1,15,15,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,0,1,0,0,47,48,49,50,51,false,true,true,false,,No,183.5 secs,11/25/22 0:43,1,s.castano@cgiar.org,1969,false,1,Mapbox Satellite,-1.19468856,-48.08981394,0,1,16,16,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,0,1,0,0,1,2,3,4,5,false,true,true,false,assuming it is a similar case of plot 5,No,46947.7 secs,11/25/22 13:46,1,s.castano@cgiar.org,2006,false,1,Mapbox Satellite,-1.191688578,-48.08907337,0,4,17,17,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0,1,0,0,47,48,49,50,51,false,true,true,false,similar to plot 5 but transition/disturbance seemed to happen in 2005,No,373.8 secs,11/25/22 13:52,1,s.castano@cgiar.org,2005,false,1,Mapbox Satellite,-1.188263436,-48.0893469,0,1,18,18,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,0,1,0,0,47,48,49,50,51,false,true,true,false,similar to plot 5: transition/disturbance seemed to happen in 2006,No,55.3 secs,11/25/22 13:55,1,s.castano@cgiar.org,2006,false,1,Mapbox Satellite,-1.192973188,-48.08913521,0,4,19,19,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,0,1,0,0,9,10,49,1,2,false,true,true,false,brown in imagery,No,516.3 secs,11/25/22 15:59,1,s.castano@cgiar.org,1985,false,1,Mapbox Satellite,-1.193640715,-48.08849855,0,1,26,26,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0,1,0,0,7,8,9,10,11,false,true,true,false,,No,77.1 secs,11/25/22 16:11,1,s.castano@cgiar.org,2006,false,1,Mapbox Satellite,-1.192645503,-48.08902429,0,1,27,27,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0,1,0,0,47,48,49,50,51,false,true,true,false,stable,No,83.8 secs,11/25/22 17:40,1,s.castano@cgiar.org,1969,false,1,Mapbox Satellite,-1.195305698,-48.08933147,0,1,28,28,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0,0,1,0,0,12,13,14,15,16,false,true,true,false,plantation then agriculture,No,31242.7 secs,11/28/22 21:44,1,s.castano@cgiar.org,2009,false,1,Planet NICFI Public,-1.189826306,-48.09056714,0,1,36,36,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0,0,1,0,0,47,48,49,50,51,false,true,true,false,low confidence,No,411.2 secs,11/29/22 19:23,1,jhoanse@gmail.com,2000,false,1,Mapbox Satellite,-1.187559093,-48.09034068,0,1,38,38,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0,0,1,0,0,47,48,49,50,51,false,true,true,false,"low confidence, possible burn 2017 or just stable",No,59.8 secs,11/28/22 23:02,1,s.castano@cgiar.org,2017,false,1,Planet NICFI Public,-1.191616487,-48.0896543,0,4,44,44,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0,0,1,0,0,9,10,11,12,13,false,true,true,false,maybe degradation 2015,No,3.5 secs,11/29/22 20:14,1,jhoanse@gmail.com,1969,false,1,,-1.194551667,-48.08723338,0,1,50,50,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0,0,1,0,0,13,14,15,16,17,false,true,true,false,,No,156.2 secs,11/28/22 22:06,1,s.castano@cgiar.org,2014,false,1,Planet NICFI Public,-1.188761695,-48.09060285,0,1,51,51,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0,0,1,0,0,47,48,49,50,51,false,true,true,false,,No,514.9 secs,11/28/22 22:26,1,s.castano@cgiar.org,1969,false,1,Planet NICFI Public,-1.193285919,-48.08895237,0,1,53,53,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0,0,1,0,0,9,10,11,12,13,false,true,true,false,surrounded by a burn,No,44.4 secs,11/28/22 22:38,1,s.castano@cgiar.org,1969,false,1,Mapbox Satellite,-1.194303411,-48.08728022,0,4,54,54,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0,0,1,0,0,47,48,49,50,51,false,true,true,false,"conservative acording to Earth Pro, likely closer to 2005",No,540.8 secs,11/28/22 22:47,1,s.castano@cgiar.org,2010,false,1,Planet NICFI Public,-1.188627283,-48.08936525,0,1,55,55,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,0,1,0,0,9,10,11,12,13,false,true,true,false,"brown in Earth Pro, later graph drop is adjacent distrubance",No,206.3 secs,11/28/22 22:54,1,s.castano@cgiar.org,1985,false,1,Planet NICFI Public,-1.193583601,-48.08798541,0,4,57,57,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a_0,0,1,0,0,1,2,3,4,5,false,true,true,false,borders agriculture,No,108.5 secs,11/28/22 22:56,1,s.castano@cgiar.org,1969,false,1,Planet NICFI Public,-1.192867797,-48.08829938,0,4,58,58,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b_0,0,1,0,0,12,13,14,15,16,false,true,true,false,,No,138.1 secs,11/28/22 22:58,1,s.castano@cgiar.org,2010,false,1,Planet NICFI Public,-1.18779491,-48.09023977,0,1,59,59,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0,0,1,0,0,9,10,11,12,13,false,true,true,false,"could be earlier, plantation in 2000, big tree in late 2010",No,31.4 secs,11/28/22 23:03,1,s.castano@cgiar.org,2010,false,1,Planet NICFI Public,-1.191565071,-48.08970502,0,4,60,60,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0,0,1,0,0,10,11,12,13,14,false,true,true,false,cut plantation,No,481.4 secs,11/28/22 23:14,1,s.castano@cgiar.org,2005,false,1,Planet NICFI Public,-1.188975316,-48.08836128,0,1,62,62,62,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0,0,1,0,0,47,48,49,50,51,false,true,true,false,"arguably more than 50% forest, but counting as plantation cut here",No,176.5 secs,11/28/22 23:17,1,s.castano@cgiar.org,2006,false,1,Planet NICFI Public,-1.193103412,-48.09024302,0,1,63,63,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041_0,0,1,0,0,47,48,49,50,51,false,true,true,false,"plantation in 2000, forest in 2010",No,400.1 secs,11/28/22 23:30,1,s.castano@cgiar.org,2004,false,1,Planet NICFI Public,-1.188397697,-48.08908157,0,1,65,65,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,0,1,0,0,47,48,49,50,51,false,true,true,false,"plantation in 2000, forest in 2010",No,177.0 secs,11/28/22 23:33,1,s.castano@cgiar.org,2006,false,1,Planet NICFI Public,-1.190201719,-48.08810853,0,1,66,66,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043_0,0,1,0,0,10,11,12,13,14,false,true,true,false,"split pixel - cleared, plantation, couple trees",No,246.9 secs,11/28/22 23:37,1,s.castano@cgiar.org,2010,false,1,Planet NICFI Public,-1.187542576,-48.0884647,0,1,67,67,67,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,0,1,0,0,1,2,3,4,5,false,true,true,false,25% plantation in 2000,No,141.0 secs,11/28/22 23:40,1,s.castano@cgiar.org,1969,false,1,Planet NICFI Public,-1.192995513,-48.08869074,0,1,68,68,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,0,1,0,0,47,48,49,50,51,false,true,true,false,,No,1707.5 secs,11/29/22 0:08,1,s.castano@cgiar.org,1969,false,1,Planet NICFI Public,-1.193792451,-48.08893909,0,1,69,69,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,0,1,0,0,12,13,14,15,16,false,true,true,false,"harvested plantation allowed to regrow, partial clearing in 2013?",No,240.1 secs,11/29/22 0:58,1,s.castano@cgiar.org,2010,false,1,Planet NICFI Public,-1.188986491,-48.09019179,0,1,71,71,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048_0,0,1,0,0,26,27,28,29,30,false,true,true,false,evidence of clearing in 1969 image,No,157.9 secs,11/29/22 1:01,1,s.castano@cgiar.org,1969,false,1,Planet NICFI Public,-1.191471098,-48.08693763,0,4,72,72,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0,0,1,0,0,9,10,11,12,13,false,true,true,false,,No,55993.1 secs,11/29/22 16:35,1,s.castano@cgiar.org,1969,false,1,Planet NICFI Public,-1.194584436,-48.08789058,0,1,73,73,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0,0,1,0,0,1,2,3,4,5,false,true,true,false,"plantation in 2000, and some small trees are present in next image of 2010",No,424.5 secs,11/29/22 16:42,1,s.castano@cgiar.org,2009,false,1,Planet NICFI Public,-1.190800034,-48.08950255,0,1,74,74,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,0,1,0,0,10,11,12,13,14,false,true,true,false,"low confidence, looks like a plantation in 2012 and I am not convinced the trees in 2014 aren't still plantation",No,286.2 secs,11/29/22 16:53,1,s.castano@cgiar.org,2013,false,1,Planet NICFI Public,-1.187898412,-48.08811834,0,1,76,76,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,0,1,0,0,47,48,49,50,51,true,true,true,false,hard one,No,402.7 secs,11/30/22 10:55,2,apnicolau@sig-gis.com,,false,1,Planet NICFI Public,-1.19049233,-48.08874854,0,2,82,82,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,0,1,0,0,1,2,3,4,5,false,true,false,false,,Not Applicable - always nonforest,1787.8 secs,11/25/22 15:24,4,ovidio.rivera@gmail.com,,false,1,Planet NICFI Public,-1.191138126,-48.08905733,0,4,22,22,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0,0,1,0,0,0,0,0,0,false,false,false,false,,Not Applicable - always nonforest,416.0 secs,11/24/22 23:46,4,s.castano@cgiar.org,,false,0,Mapbox Satellite,-1.192500042,-48.08707114,1,1,10,10,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,0,0,1,0,9,10,11,12,13,false,false,false,false,,Not Applicable - always nonforest,937.5 secs,11/25/22 15:40,4,ovidio.rivera@gmail.com,,false,0,Mapbox Satellite,-1.192982203,-48.08792389,1,4,23,23,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,0,0,1,0,9,10,11,12,13,false,false,false,false,,Not Applicable - always nonforest,225.4 secs,11/25/22 20:21,4,s.castano@cgiar.org,,false,0,Mapbox Satellite,-1.193117454,-48.08784869,1,4,33,33,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0,0,0,1,0,1,2,3,4,5,false,false,false,false,Non forest since 2016,Not Applicable - always nonforest,7.9 secs,11/29/22 20:14,4,jhoanse@gmail.com,,false,0,,-1.192431545,-48.08791417,1,4,37,37,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0,0,0,1,0,1,2,3,4,5,false,false,false,false,,Not Applicable - always nonforest,166.9 secs,11/28/22 23:06,4,s.castano@cgiar.org,,false,0,Planet NICFI Public,-1.192218326,-48.08801844,1,4,61,61,61,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b_0,0,0,1,0,1,2,3,4,5,false,false,false,false,,Not Applicable - always nonforest,374.0 secs,11/29/22 16:48,4,s.castano@cgiar.org,,false,0,Planet NICFI Public,-1.19184511,-48.08850081,1,4,75,75,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,0,0,1,0,1,2,3,4,5,false,false,false,false,,Not Applicable - always nonforest,315.8 secs,11/29/22 18:56,4,s.castano@cgiar.org,,false,0,Planet NICFI Public,-1.192289455,-48.08787426,1,4,77,77,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
