EcoMol,sample code,site code,site,treatment code,treatment code original,treatment,treatment_br,replicate,pretty
EM135c3-36,Tbio-RTERRA-4-I-R3,4,Edione de Oliveira Lopes,I,I,Intervention,Interveção,3,Intervention S4 R3
EM135c3-37,Tbio-RTERRA-4-CF-R1,4,Edione de Oliveira Lopes,CF,CF,Pasture,Contrafactual,1,Pasture S4 R1
EM135c3-38,Tbio-RTERRA-4-CF-R2,4,Edione de Oliveira Lopes,CF,CF,Pasture,Contrafactual,2,Pasture S4 R2
EM135c3-39,Tbio-RTERRA-4-CF-R3,4,Edione de Oliveira Lopes,CF,CF,Pasture,Contrafactual,3,Pasture S4 R3
EM135c3-40,Tbio-RTERRA-4-R-R1,4,Edione de Oliveira Lopes,R,R,Forest,Referência,1,Forest S4 R1
EM135c3-41,Tbio-RTERRA-4-R-R2,4,Edione de Oliveira Lopes,R,R,Forest,Referência,2,Forest S4 R2
EM135c3-42,Tbio-RTERRA-4-R-R3,4,Edione de Oliveira Lopes,R,R,Forest,Referência,3,Forest S4 R3
EM135c3-43,Tbio-RTERRA-4-CF2-R1,4,Edione de Oliveira Lopes,CF2,CF2,Riparian Pasture,Contrafactual 2,1,Riparian Pasture S4 R1
EM135c3-44,Tbio-RTERRA-4-CF2-R2,4,Edione de Oliveira Lopes,CF2,CF2,Riparian Pasture,Contrafactual 2,2,Riparian Pasture S4 R2
EM135c3-45,Tbio-RTERRA-4-CF2-R3,4,Edione de Oliveira Lopes,CF2,CF2,Riparian Pasture,Contrafactual 2,3,Riparian Pasture S4 R3
EM135c3-46,Tbio-RTERRA-5-I-R1,5,Pedro Antônio de Oliveira,I,I,Intervention,Interveção,1,Intervention S5 R1
EM135c3-47,Tbio-RTERRA-5-I-R2,5,Pedro Antônio de Oliveira,I,I,Intervention,Interveção,2,Intervention S5 R2
EM135c3-48,Tbio-RTERRA-5-I-R3,5,Pedro Antônio de Oliveira,I,I,Intervention,Interveção,3,Intervention S5 R3
EM135c3-49,Tbio-RTERRA-5-CF-R1,5,Pedro Antônio de Oliveira,CF,CF,Pasture,Contrafactual,1,Pasture S5 R1
EM135c3-50,Tbio-RTERRA-5-CF-R2,5,Pedro Antônio de Oliveira,CF,CF,Pasture,Contrafactual,2,Pasture S5 R2
EM135c3-51,Tbio-RTERRA-5-CF-R3,5,Pedro Antônio de Oliveira,CF,CF,Pasture,Contrafactual,3,Pasture S5 R3
EM135c3-52,Tbio-RTERRA-5-R-R1,5,Pedro Antônio de Oliveira,R,R,Forest,Referência,1,Forest S5 R1
EM135c3-53,Tbio-RTERRA-5-R-R2,5,Pedro Antônio de Oliveira,R,R,Forest,Referência,2,Forest S5 R2
EM135c3-54,Tbio-RTERRA-5-R-R3,5,Pedro Antônio de Oliveira,R,R,Forest,Referência,3,Forest S5 R3
